map_type,data_size,time_elapsed
hashmap,1,0.0
bettermap,1,0.0
linearmap,1,0.0
hashmap,1,0.0
bettermap,1,0.0
linearmap,1,0.0
hashmap,1,0.0
bettermap,1,0.0
linearmap,1,0.0
hashmap,1,0.0
bettermap,1,0.0
linearmap,1,0.0
hashmap,1,0.0
bettermap,1,0.0
linearmap,1,0.0
hashmap,10,0.0
bettermap,10,0.0
linearmap,10,0.0
hashmap,10,0.0
bettermap,10,0.0
linearmap,10,0.0
hashmap,10,0.0
bettermap,10,0.0
linearmap,10,0.0
hashmap,10,0.0
bettermap,10,0.0
linearmap,10,0.0
hashmap,10,0.0
bettermap,10,0.010000000000000009
linearmap,10,0.0
hashmap,100,0.0
bettermap,100,0.0
linearmap,100,0.0
hashmap,100,0.0
bettermap,100,0.0
linearmap,100,0.0
hashmap,100,0.0
bettermap,100,0.0
linearmap,100,0.0
hashmap,100,0.0
bettermap,100,0.0
linearmap,100,0.0
hashmap,100,0.0
bettermap,100,0.0
linearmap,100,0.0
hashmap,1000,0.009999999999999953
bettermap,1000,0.0
linearmap,1000,0.0
hashmap,1000,0.010000000000000009
bettermap,1000,0.010000000000000009
linearmap,1000,0.0
hashmap,1000,0.010000000000000009
bettermap,1000,0.0
linearmap,1000,0.0
hashmap,1000,0.010000000000000009
bettermap,1000,0.0
linearmap,1000,0.0
hashmap,1000,0.009999999999999953
bettermap,1000,0.0
linearmap,1000,0.010000000000000009
hashmap,10000,0.16000000000000003
bettermap,10000,0.030000000000000027
linearmap,10000,0.010000000000000009
hashmap,10000,0.1299999999999999
bettermap,10000,0.020000000000000018
linearmap,10000,0.010000000000000009
hashmap,10000,0.1200000000000001
bettermap,10000,0.030000000000000027
linearmap,10000,0.010000000000000009
hashmap,10000,0.1299999999999999
bettermap,10000,0.040000000000000036
linearmap,10000,0.0
hashmap,10000,0.14000000000000012
bettermap,10000,0.029999999999999805
linearmap,10000,0.0
hashmap,100000,1.1100000000000003
bettermap,100000,0.20999999999999996
linearmap,100000,0.08999999999999986
hashmap,100000,1.0699999999999998
bettermap,100000,0.20000000000000018
linearmap,100000,0.06999999999999984
hashmap,100000,1.0700000000000007
bettermap,100000,0.20999999999999908
linearmap,100000,0.08000000000000007
hashmap,100000,1.1000000000000005
bettermap,100000,0.1999999999999993
linearmap,100000,0.08000000000000007
hashmap,100000,1.0600000000000005
bettermap,100000,0.1999999999999993
linearmap,100000,0.07000000000000117
